Variant,ID,OOD,FGSM,Layer,Threshold,Mini,N-extract,N-train,Random seed,AUROC,AUROC-avg-std,FPR95,FPR95-avg-std,Logfile
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.1.norm1,0.4,,3,1,0,91.47,,27.77,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.1.norm1,0.4,,3,2,1000,92.02,,26.02,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.1.norm1,0.4,,3,3,2000,92.35,91.95±0.36,26.99,26.93±0.72,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.1.norm2,0.4,,3,1,0,90.55,,36.12,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.1.norm2,0.4,,3,2,1000,92.28,,32.23,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.1.norm2,0.4,,3,3,2000,90.35,91.06±0.87,35.92,34.76±1.79,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.2.norm1,0.4,,3,1,0,71.82,,62.72,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.2.norm1,0.4,,3,2,1000,73.06,,62.72,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.2.norm1,0.4,,3,3,2000,70.3,71.73±1.13,65.05,63.50±1.10,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.2.norm2,0.4,,3,1,0,64.05,,71.65,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.2.norm2,0.4,,3,2,1000,67.91,,69.13,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.2.norm2,0.4,,3,3,2000,67.07,66.34±1.66,69.32,70.03±1.15,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.3.norm1,0.4,,3,1,0,44.99,,84.85,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.3.norm1,0.4,,3,2,1000,48.39,,83.88,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.3.norm1,0.4,,3,3,2000,43.84,45.74±1.93,83.69,84.14±0.51,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.3.norm2,0.4,,3,1,0,44.7,,81.17,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.3.norm2,0.4,,3,2,1000,41.68,,83.3,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.3.norm2,0.4,,3,3,2000,47.16,44.51±2.24,78.64,81.04±1.90,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.4.norm1,0.4,,3,1,0,12.17,,94.37,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.4.norm1,0.4,,3,2,1000,11.8,,93.98,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.4.norm1,0.4,,3,3,2000,11.58,11.85±0.24,94.95,94.43±0.40,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.4.norm2,0.4,,3,1,0,17.18,,92.62,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.4.norm2,0.4,,3,2,1000,17.1,,92.62,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.4.norm2,0.4,,3,3,2000,16.54,16.94±0.28,92.62,92.62±0.00,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.5.norm1,0.4,,3,1,0,23.34,,89.71,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.5.norm1,0.4,,3,2,1000,20.85,,90.1,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
